Product Url,Image,Image1,Image2,Image3,Vendor,Sku Styleisnow,Season,Year,SKU,Variant,Color detail,Color Supplier,Made in,Material,Product's Title,Description,Tags,Qty,Retail Price,Discount,Size,Qty Detail,Bag length,Bag height,Bag width,Handle height,Shoulder bag length,Belt length,Belt height,Barcode,Compare to Price,Dimensions,SKU FULL
https://www.styleisnow.com/business/tote-bags-acne-studios-232895abs000001-aev.html,,http://cdn.orderlink.it/foto/212895C10068/C10068gvh-13.jpg,http://cdn.orderlink.it/foto/212895C10068/C10068wlp-14.jpg,http://cdn.orderlink.it/foto/212895C10068/C10068wak-15.jpg,ACNE STUDIOS,232895ABS000001-AEV,Spring - Summer,2024,C10068,AEV,Beige,BROWN PINK,Italy,"100% NY, 100% LH",Baker Out Medium Tote Bag,"Baker Out medium unisex tote bag by Acne Studios crafted in paper-effect nylon with contrasting leather details and a zipped pocket applied on front. Logo printed on front, two top handles, removable and adjustable shoulder strap. Unlined. Silver-finish metalware.",Man > Bags > Tote bags,4.0,540.0,42.00%,os,4,19 cm,26 cm,12 cm,6 cm,94 cm,,,7323335938811,370.0,"H 26.0 cm x L 19.0 x D 12.0 cm / H 10.2"" x L 7.5"" x D 4.7""",232895ABS000001-AEV-os
https://www.styleisnow.com/business/mini-bags-alexander-mcqueen-232527abs000005-1000.html,,http://cdn.orderlink.it/foto/2325277565211BLCM/7565211BLCMrcm-13.jpg,http://cdn.orderlink.it/foto/2325277565211BLCM/7565211BLCMqln-14.jpg,http://cdn.orderlink.it/foto/2325277565211BLCM/7565211BLCMrxr-15.jpg,ALEXANDER MCQUEEN,232527ABS000005-1000,Spring - Summer,2024,756521 1BLCM,1000,Nero,BLACK,Italy,100% vitello,Mini 'Jewelled Satchel' Bag,"Leather mini 'Jewelled Satchel' bag by Alexander McQueen with four-ring jeweled handle, decorated with the iconic Skull and Swarovski crystals, at front. Adjustable leather strap, flap with magnetic button, silver-printed logo, contrasting leather interior, credit card slot. Silver-tone metal hardware.",Woman > Bags > Mini bags,2.0,2425.0,50.00%,os,2,"17,5 cm",11 cm,6 cm,30 cm,112 cm,,,0,1670.0,"H 11.0 cm x L 17.5 x D 6.0 cm / H 4.3"" x L 6.9"" x D 2.4""",232527ABS000005-1000-os
https://www.styleisnow.com/business/crossbody-and-shoulder-bags-alexander-mcqueen-232527abs000006-1000.html,,http://cdn.orderlink.it/foto/2325277576261BLCM/7576261BLCMand-13.jpg,http://cdn.orderlink.it/foto/2325277576261BLCM/7576261BLCMrwl-14.jpg,http://cdn.orderlink.it/foto/2325277576261BLCM/7576261BLCMaom-15.jpg,ALEXANDER MCQUEEN,232527ABS000006-1000,Spring - Summer,2024,757626 1BLCM,1000,Nero,BLACK,Italy,100% calfskin,Small Leather Skull Bag,"Alexander McQueen crossbody bag made of smooth leather and characterized by iconic Skull with crystals on the flap. It features magnetic button closure, leather interior with one card slot, wide adjustable leather biker-style shoulder strap. Finished with silver-tone printed lettering logo on the back. Silver-finished metalware.",Woman > Bags > Crossbody and Shoulder bags,4.0,1270.0,50.00%,os,4,19 cm,13 cm,4 cm,0,72 cm,,,3666582484279,880.0,"H 13.0 cm x L 19.0 x D 4.0 cm / H 5.1"" x L 7.5"" x D 1.6""",232527ABS000006-1000-os
https://www.styleisnow.com/business/tote-bags-acne-studios-232895abs000002-aev.html,,http://cdn.orderlink.it/foto/212895C10069/C10069hie-13.jpg,http://cdn.orderlink.it/foto/212895C10069/C10069wwd-14.jpg,http://cdn.orderlink.it/foto/212895C10069/C10069bgd-15.jpg,ACNE STUDIOS,232895ABS000002-AEV,Spring - Summer,2024,C10069,AEV,Beige,BROWN PINK,Italy,"100% NY, 100% LH",Baker Out Medium Tote Bag,"Baker Out medium unisex tote bag by Acne Studios crafted in paper-effect nylon with contrasting leather details and a zipped pocket applied on front. Logo printed on front, two top handles, removable and adjustable shoulder strap. Unlined. Silver-finish metalware.",Woman > Bags > Tote bags,9.0,605.0,42.00%,os,9,,,0,0,0,,,7323335938798,420.0,,232895ABS000002-AEV-os
https://www.styleisnow.com/business/belt-bag-alexander-mcqueen-232527fms000001-1000.html,,http://cdn.orderlink.it/foto/2315277353171AAJO/7353171AAJOssy-13.jpg,http://cdn.orderlink.it/foto/2315277353171AAJO/7353171AAJOhtr-14.jpg,http://cdn.orderlink.it/foto/2315277353171AAJO/7353171AAJOuza-15.jpg,ALEXANDER MCQUEEN,232527FMS000001-1000,Spring - Summer,2024,735317 1AAD0,1000,Nero,BLACK,Italy,100% calfskin,Biker Beltpack,"Alexander McQueen smooth leather biker beltpack with detachable chain shoulder strap. Zippered closure, contrasting fabric interior with a leather credit card slot. Silver-finished metalware.",Man > Bags > Belt bags,1.0,1270.0,48.00%,os,1,24 cm,14 cm,0,0,100 cm,,,0,880.0,"H 14.0 cm x L 24.0 x D 0.0 cm / H 5.5"" x L 9.4"" x D 0.0""",232527FMS000001-1000-os
https://www.styleisnow.com/business/pouch-and-business-bags-alexander-mcqueen-232527fav000002-1070.html,,http://cdn.orderlink.it/foto/2315275604721AAMJ/5604721AAMJtqk-13.jpg,http://cdn.orderlink.it/foto/2315275604721AAMJ/5604721AAMJexx-14.jpg,http://cdn.orderlink.it/foto/2315275604721AAMJ/5604721AAMJnrh-15.jpg,ALEXANDER MCQUEEN,232527FAV000002-1070,Spring - Summer,2024,560472 1AAMJ,1070,Nero,BLACK WHITE,Italy,100% LH,'Mcqueen Graffiti' Leather Flat Pouch,Alexander McQueen flat pouch crafted in smooth leather with contrasting McQueen Graffiti print on front. Matte tone-on-tone metal zip closure. Branded nylon lining with a flat patch pocket and six leather credit card slots in leather.,Man > Bags > Pouch and Business bags,1.0,605.0,48.00%,os,1,31 cm,"20,5 cm","1,5 cm",0,0,,,0,420.0,"H 20.5 cm x L 31.0 x D 1.5 cm / H 8.1"" x L 12.2"" x D 0.6""",232527FAV000002-1070-os
https://www.styleisnow.com/business/backpacks-alexander-mcqueen-232527fza000002-1000.html,,http://cdn.orderlink.it/foto/2325277262881AALC/7262881AALCsdb-13.jpg,http://cdn.orderlink.it/foto/2325277262881AALC/7262881AALCjda-14.jpg,http://cdn.orderlink.it/foto/2325277262881AALC/7262881AALCzwm-15.jpg,ALEXANDER MCQUEEN,232527FZA000002-1000,Spring - Summer,2024,726288 1AALC,1000,Nero,BLACK,Italy,100% NY,Harness Backpack,"Alexander McQueen nylon Harness backpack with tone-on-tone leather harness and contrasting printed lettering logo on front. Two-way zipper closure, contrasting nylon-lined interior with one laptop pocket and one flat pocket. Padded and adjustable leather shoulder straps with logoed webbing. Silver-finished metalware.",Man > Bags > Backpacks and Duffel bags,1.0,1525.0,48.00%,os,1,32 cm,43 cm,14 cm,0,0,,,0,1050.0,"H 43.0 cm x L 32.0 x D 14.0 cm / H 16.9"" x L 12.6"" x D 5.5""",232527FZA000002-1000-os
https://www.styleisnow.com/business/crossbody-bags-alexander-mcqueen-232527fbs000002-1000.html,,http://cdn.orderlink.it/foto/2325277478331AAN5/7478331AAN5yly-13.jpg,http://cdn.orderlink.it/foto/2325277478331AAN5/7478331AAN5iia-14.jpg,http://cdn.orderlink.it/foto/2325277478331AAN5/7478331AAN5bxk-15.jpg,ALEXANDER MCQUEEN,232527FBS000002-1000,Spring - Summer,2024,747833 1AAN5,1000,Nero,BLACK,Italy,100% calfskin,The Knuckle Satchel Bag,"Alexander McQueen The Knuckle Satchel leather bag decorated with the iconic handle with silver metal rings. Magnetic closure, contrasting interior with a credit card slot, additional rear slit pocket and adjustable, detachable webbing shoulder strap. Silver-finish metalware.",Man > Bags > Crossbody bags,2.0,2425.0,48.00%,os,2,21 cm,"10,5 cm","4,5 cm",0,97 cm,,,0,1670.0,"H 10.5 cm x L 21.0 x D 4.5 cm / H 4.1"" x L 8.3"" x D 1.8""",232527FBS000002-1000-os
https://www.styleisnow.com/business/business-and-pouch-bags-alexander-mcqueen-232527fav000004-1000.html,,http://cdn.orderlink.it/foto/2325277478561AALD/7478561AALDpdg-13.jpg,http://cdn.orderlink.it/foto/2325277478561AALD/7478561AALDhxb-14.jpg,http://cdn.orderlink.it/foto/2325277478561AALD/7478561AALDpiy-15.jpg,ALEXANDER MCQUEEN,232527FAV000004-1000,Spring - Summer,2024,747856 1AALD,1000,Nero,BLACK,Italy,100% NY,Harness Vanity Case,"Alexander McQueen vanity case crafted in techno canvas and characterized by tonal leather harness and silver-tone lettering logo print. Zip closure, contrasting nylon lined-interior with one credit card slot, rear flat pocket. Side handles, silver-finished metalware.",Man > Bags > Pouch and Business bags,2.0,835.0,48.00%,os,2,25 cm,12 cm,11 cm,0,0,,,8130323945,580.0,"H 12.0 cm x L 25.0 x D 11.0 cm / H 4.7"" x L 9.8"" x D 4.3""",232527FAV000004-1000-os
https://www.styleisnow.com/business/crossbody-bags-alexander-mcqueen-232527fbs000003-1000.html,,http://cdn.orderlink.it/foto/2325277262921AALD/7262921AALDcvw-13.jpg,http://cdn.orderlink.it/foto/2325277262921AALD/7262921AALDcyg-14.jpg,http://cdn.orderlink.it/foto/2325277262921AALD/7262921AALDvrm-15.jpg,ALEXANDER MCQUEEN,232527FBS000003-1000,Spring - Summer,2024,726292 1AALD,1000,Nero,BLACK,Italy,"100% NY, 100% leather",Harness Camera Bag,"Nylon crossbody bag by Alexander McQueen with leather ""Harness"" details. Two-way zippered closure, fabric interior with one leather pocket, adjustable and detachable shoulder strap, and one rear slit pocket. Silver-finished metalware.",Man > Bags > Crossbody bags,4.0,1090.0,48.00%,os,4,"22,5 cm","15,5 cm","8,5 cm",0,125 cm,,,0,750.0,"H 15.5 cm x L 22.5 x D 8.5 cm / H 6.1"" x L 8.9"" x D 3.3""",232527FBS000003-1000-os
