Product Url,Image,Image1,Image2,Image3,Vendor,Sku Styleisnow,Season,Year,SKU,Variant,Color detail,Color Supplier,Made in,Material,Product's Title,Description,Tags,Qty,Retail Price,Discount,Size,Qty Detail,Bag length,Bag height,Bag width,Handle height,Shoulder bag length,Barcode,Compare to Price,Dimensions,SKU FULL
https://www.styleisnow.com/business/tote-bags-alexander-mcqueen-232527fbs000001-1000.html,,http://cdn.orderlink.it/foto/2325277623421AAPO/7623421AAPOvbe-13.jpg,http://cdn.orderlink.it/foto/2325277623421AAPO/7623421AAPOkcj-14.jpg,http://cdn.orderlink.it/foto/2325277623421AAPO/7623421AAPOudd-15.jpg,Alexander Mcqueen,232527FBS000001-1000,Spring - Summer,2024,762342 1AAPO,1000,Nero,BLACK,Italy,100% calfskin,the edge medium tote bag,"Alexander McQueen The Edge grained leather tote bag with adjustable handles, printed silver lettering logo, contrasting leather interior with one open pocket and rear Seal logo imprinted.",Man > Bags > Tote bags,3,2940.0,48.00%,os,4,38 cm,40 cm,10 cm,"25,5 cm",0,0,2030.0,"H 40.0 cm x L 38.0 x D 10.0 cm / H 15.7"" x L 15.0"" x D 3.9""",232527FBS000001-1000-os
https://www.styleisnow.com/business/handbags-mm6-maison-margiela-241923abs000006-t1013.html,,http://cdn.orderlink.it/foto/221923S54WD0039P4344/S54WD0039P4344cal-13.jpg,http://cdn.orderlink.it/foto/221923S54WD0039P4344/S54WD0039P4344tca-14.jpg,http://cdn.orderlink.it/foto/221923S54WD0039P4344/S54WD0039P4344bij-15.jpg,MM6,241923ABS000006-T1013,Spring - Summer,2024,S54WD0039 P5691,T1013,Bianco,ZENZERO,China,100% bovine leather,japanese handbag,"MM6 Maison Margiela Japanese bag in grained leather with double triangle shape ending in the leather-wrapped top handle with debossed logo. Signature straight white stitch on the back. Press-stud on the lower edges to change the bag shape. Press-stud closure, cotton lining and one inner flat pocket with press-stud closure. Silver-finished metalware.",Woman > Bags > Handbags,8,730.0,42.00%,os,8,50 cm,35 cm,1 cm,19 cm,0,8053460591931,500.0,"H 35.0 cm x L 50.0 x D 1.0 cm / H 13.8"" x L 19.7"" x D 0.4""",241923ABS000006-T1013-os
https://www.styleisnow.com/business/clutch-bags-etro-241883aav000001-m0019.html,,http://cdn.orderlink.it/foto/2328831P0397567/1P0397567zmx-13.jpg,http://cdn.orderlink.it/foto/2328831P0397567/1P0397567ndc-14.jpg,http://cdn.orderlink.it/foto/2328831P0397567/1P0397567xsn-15.jpg,Etro,241883AAV000001-M0019,Spring - Summer,2024,WP2C0010 AA001,M0019,Rosso,MARRONE 2,Italy,76% CO 24% PL,paisley pouch with embroidery,"Pouch by ETRO made of coated canvas with iconic Paisley motif and and embroidered Pegasus logo. Zipper closure, detachable wrist handle and lined interior with one open pocket.",Woman > Bags > Clutch bags,7,605.0,46.00%,os,4,30 cm,"22,5 cm",5 cm,0,0,0,420.0,"H 22.5 cm x L 30.0 x D 5.0 cm / H 8.9"" x L 11.8"" x D 2.0""",241883AAV000001-M0019-os
https://www.styleisnow.com/business/crossbody-and-shoulder-bags-a-p-c-241633abs000006-lzz.html,,http://cdn.orderlink.it/foto/212633PXAWVF61415/PXAWVF61415akn-13.jpg,http://cdn.orderlink.it/foto/212633PXAWVF61415/PXAWVF61415dpi-14.jpg,http://cdn.orderlink.it/foto/212633PXAWVF61415/PXAWVF61415fbv-15.jpg,A.P.C.,241633ABS000006-LZZ,Spring - Summer,2024,PXAWV F61415,LZZ,Nero,NOIR,Tunisia,100% cow leather,genève mini crossbody bag,A.P.C. Geneve Mini bag in smooth leather with removable and adjustable sliding strap. Flap with magnetic button with suede interior and front gold-printed logo. Fabric lining with open flat pocket. Gold-tone metalware.,Woman > Bags > Crossbody and Shoulder bags,4,580.0,48.00%,os,9,18 cm,13 cm,6 cm,0,108 cm,3613060883932,400.0,"H 13.0 cm x L 18.0 x D 6.0 cm / H 5.1"" x L 7.1"" x D 2.4""",241633ABS000006-LZZ-os
https://www.styleisnow.com/business/tote-bags-marc-jacobs-242445abs000040-001.html,,http://cdn.orderlink.it/foto/242445H004L01PF21/H004L01PF21tkp-13.jpg,http://cdn.orderlink.it/foto/242445H004L01PF21/H004L01PF21hxu-14.jpg,http://cdn.orderlink.it/foto/242445H004L01PF21/H004L01PF21waw-15.jpg,Marc Jacobs,242445ABS000040-001,Fall - Winter,2024,H004L01PF21,001,Nero,BLACK,Vietnam,100% cow leather,the leather medium tote bag,"Marc Jacobs ""The Leather Medium Tote Bag""crafted in full grain leather with debossed logo print on front and leather logo patch applied on the back. Double top handle, detachable and adjustable shoulder strap, side handle and zip closure. Leather interior with a fabric insert featuring a zipped flat pocket, two open smaller ones and a leather credit card slot. Gold-finished metalware.",Woman > Bags > Tote bags,25,705.0,40.00%,os,27,33 cm,25 cm,14 cm,11 cm,105 cm,0,490.0,"H 25.0 cm x L 33.0 x D 14.0 cm / H 9.8"" x L 13.0"" x D 5.5""",242445ABS000040-001-os
https://www.styleisnow.com/business/mini-bags-marc-jacobs-242445abs000006-212.html,,http://cdn.orderlink.it/foto/242445H053L01RE22/H053L01RE22yak-13.jpg,http://cdn.orderlink.it/foto/242445H053L01RE22/H053L01RE22rex-14.jpg,http://cdn.orderlink.it/foto/242445H053L01RE22/H053L01RE22mur-15.jpg,Marc Jacobs,242445ABS000006-212,Fall - Winter,2024,H053L01RE22,212,Marrone,ARGAN OIL,Vietnam,100% cow leather,the leather mini tote bag,"The Leather Mini Tote Bag by Marc Jacobs crafted in grained leather with contrasting lettering logo printed on the front. Double handles, detachable and adjustable shoulder strap, side handle and zipper closure. Unlined interior and gold-tone metalware.",Woman > Bags > Mini bags,12,505.0,40.00%,os,15,18 cm,15 cm,9 cm,8 cm,115 cm,0,350.0,"H 15.0 cm x L 18.0 x D 9.0 cm / H 5.9"" x L 7.1"" x D 3.5""",242445ABS000006-212-os
https://www.styleisnow.com/business/tote-bags-marc-jacobs-242445abs000009-260.html,,http://cdn.orderlink.it/foto/242445M0016161/M0016161mxy-13.jpg,http://cdn.orderlink.it/foto/242445M0016161/M0016161jjy-14.jpg,http://cdn.orderlink.it/foto/242445M0016161/M0016161had-15.jpg,Marc Jacobs,242445ABS000009-260,Fall - Winter,2024,M0016161,260,Beige,BEIGE,Cambodia,100% CO,the canvas medium tote bag,"The Canvas Medium Tote Bag by Marc Jacobs made cotton fabric with detacheble and adjustable fabric shoulder strap. Contrasting lettering logo on the front, top zip closure and side handle. Unlined interior with two open pockets and a zippered one, steel-tone metalware.",Woman > Bags > Tote bags,1,290.0,40.00%,os,10,33 cm,27 cm,16 cm,11 cm,105 cm,0,200.0,"H 27.0 cm x L 33.0 x D 16.0 cm / H 10.6"" x L 13.0"" x D 6.3""",242445ABS000009-260-os
https://www.styleisnow.com/business/tote-bags-marc-jacobs-242445abs000031-263.html,,http://cdn.orderlink.it/foto/242445M0017027/M0017027avd-13.jpg,http://cdn.orderlink.it/foto/242445M0017027/M0017027zwk-14.jpg,http://cdn.orderlink.it/foto/242445M0017027/M0017027rkr-15.jpg,Marc Jacobs,242445ABS000031-263,Fall - Winter,2024,M0017027,263,Beige,WARM SAND,Vietnam,64%CO 36%PL,the jacquard medium tote bag,"The Jacquard Medium Tote Bag by Marc Jacobs in cotton-blend canvas, featuring double top handle, adjustable and removable shoulder strap, front contrasting jacquard logo, rear fabric logo patch, zip closure and side handle. Unlined interior with two open pockets and a zippered one. Silver-finished metalware.",Woman > Bags > Tote bags,21,505.0,40.00%,os,21,34 cm,27 cm,15 cm,12 cm,110 cm,0,350.0,"H 27.0 cm x L 34.0 x D 15.0 cm / H 10.6"" x L 13.4"" x D 5.9""",242445ABS000031-263-os
https://www.styleisnow.com/business/tote-bags-anya-hindmarch-242650abs000024-a0001.html,,http://cdn.orderlink.it/foto/2426505050925194891/5050925194891qvu-13.jpg,http://cdn.orderlink.it/foto/2426505050925194891/5050925194891ipp-14.jpg,http://cdn.orderlink.it/foto/2426505050925194891/5050925194891rpv-15.jpg,Anya Hindmarch,242650ABS000024-A0001,Fall - Winter,2024,5050925194891,A0001,Marrone,TRUFFLE,Italy,100% TR,"tote bag ""i am a plastic bag"" with","The Anya Hindmarch tote bag from the I Am A Plastic Bag line is made using plastic bottle and windshield scraps to create coated canvas bags and accessories. The design features leather lettering sewn on the front and is finished with smooth leather details. It has a zip closure, an unlined interior with a flat pocket, double top handles, an adjustable and removable shoulder strap for a crossbody look, a D-ring on the front, and protective leather inserts at the base. The metal",Woman > Bags > Tote bags,3,765.0,35.00%,os,4,25 cm,17 cm,11 cm,9 cm,0,0,530.0,"H 17.0 cm x L 25.0 x D 11.0 cm / H 6.7"" x L 9.8"" x D 4.3""",242650ABS000024-A0001-os
https://www.styleisnow.com/business/belt-bags-a-p-c-242633fbs000006-iak.html,,http://cdn.orderlink.it/foto/231633PAAFHH62219/PAAFHH62219sfm-13.jpg,http://cdn.orderlink.it/foto/231633PAAFHH62219/PAAFHH62219ksx-14.jpg,http://cdn.orderlink.it/foto/231633PAAFHH62219/PAAFHH62219pyb-15.jpg,A.P.C.,242633FBS000006-IAK,Fall - Winter,2024,PAAFH H62219,IAK,Blu,DARK NAVY,China,100% PA,trek beltbag,"A.P.C. ""Trek"" beltpack crafted of nylon with zippered closure, lined interior with one zippered pocket, front pocket with logoed buckle and an additional rear slit pocket with magnetic closure. Detachable logoed snap hook and adjustable fabric shoulder strap.",Man > Bags > Belt bags,19,235.0,38.00%,os,20,22 cm,17 cm,6 cm,0,0,0,160.0,"H 17.0 cm x L 22.0 x D 6.0 cm / H 6.7"" x L 8.7"" x D 2.4""",242633FBS000006-IAK-os
https://www.styleisnow.com/business/tote-bags-marc-jacobs-242445abs000030-001.html,,http://cdn.orderlink.it/foto/212445M0016156/M0016156iyx-13.jpg,http://cdn.orderlink.it/foto/212445M0016156/M0016156ggi-14.jpg,http://cdn.orderlink.it/foto/212445M0016156/M0016156anm-15.jpg,Marc Jacobs,242445ABS000030-001,Fall - Winter,2024,M0016156,001,Nero,BLACK,Vietnam,100% CO,the large tote bag,"The Large Traveler Tote bag by Marc Jacobs made from cotton canvas with double handle to carry by hand or on the shoulder. Contrasting logo print on front, logo patch on the back, top zip closure and side handle. Unlined interior with one zip pocket and two small pockets.",Woman > Bags > Tote bags,21,355.0,40.00%,os,22,41 cm,34 cm,18 cm,24 cm,0,0,240.0,"H 34.0 cm x L 41.0 x D 18.0 cm / H 13.4"" x L 16.1"" x D 7.1""",242445ABS000030-001-os
https://www.styleisnow.com/business/backpacks-and-duffel-bags-anya-hindmarch-242650aza000001-033b.html,,http://cdn.orderlink.it/foto/2426505050925193528/5050925193528hnm-13.jpg,http://cdn.orderlink.it/foto/2426505050925193528/5050925193528hmk-14.jpg,http://cdn.orderlink.it/foto/2426505050925193528/5050925193528aqn-15.jpg,Anya Hindmarch,242650AZA000001-033B,Fall - Winter,2024,5050925193528,033B,Nero,BLACK,China,100% REC NY 100% leather,eyes backpack,"Anya Hindmarch backpack in Econyl regenerated nylon fabric with zip closure and the iconic Eyes patch in leather applied on the front. Adjustable shoulder straps, top handle, front zip compartment and side leather tag with gold-tone logo print. Nylon-lined interior with a flat pocket, gold-tone metalware.",Woman > Bags > Backpacks and Duffel bags,9,720.0,30.00%,os,10,27 cm,40 cm,"11,5 cm",8 cm,0,0,500.0,"H 40.0 cm x L 27.0 x D 11.5 cm / H 15.7"" x L 10.6"" x D 4.5""",242650AZA000001-033B-os
https://www.styleisnow.com/business/tote-bags-a-p-c-242633fbs000002-jaa.html,,http://cdn.orderlink.it/foto/242633CODBMH61318/CODBMH61318eyb-13.jpg,http://cdn.orderlink.it/foto/242633CODBMH61318/CODBMH61318xjk-14.jpg,http://cdn.orderlink.it/foto/242633CODBMH61318/CODBMH61318xzb-15.jpg,A.P.C.,242633FBS000002-JAA,Fall - Winter,2024,CODBM H61318,JAA,Khaki,KAKI,China,100%CO,récupération canvas shopping bag,"This A.P.C. open-top shopping bag is crafted of sturdy cotton canvas to a vertical silhouette with twin handles. The adjustable shoulder strap also makes it a versatile hands-free option. Signed with a front logo print, it is finished with two internal zip pockets.",Man > Bags > Tote bags,11,280.0,38.00%,os,12,"35,5 cm",38 cm,11 cm,12 cm,78-144 cm,0,190.0,"H 38.0 cm x L 35.5 x D 11.0 cm / H 15.0"" x L 14.0"" x D 4.3""",242633FBS000002-JAA-os
https://www.styleisnow.com/business/tote-bags-longchamp-242360abs000003-p87.html,,http://cdn.orderlink.it/foto/242360L1899089/L1899089ycg-13.jpg,http://cdn.orderlink.it/foto/242360L1899089/L1899089gka-14.jpg,http://cdn.orderlink.it/foto/242360L1899089/L1899089tls-15.jpg,Longchamp,242360ABS000003-P87,Fall - Winter,2024,L1899089,P87,Viola,AMARANTO,Romania,100% PA 100% leather,le pliage original l shoulder bag,"Longchamp large Le Pliage foldable shopping bag with contrast leather handles and flap with embossed logo and snap button. Zip closure with gold-tone metal zip puller, inside two open pockets. It can be carried by hand or on the shoulder.",Woman > Bags > Tote bags,5,165.0,23.00%,os,18,51 cm,30 cm,19 cm,23 cm,0,0,120.0,"H 30.0 cm x L 51.0 x D 19.0 cm / H 11.8"" x L 20.1"" x D 7.5""",242360ABS000003-P87-os
https://www.styleisnow.com/business/tote-bags-longchamp-242360abs000015-p89.html,,http://cdn.orderlink.it/foto/242360L1899919/L1899919mkh-13.jpg,http://cdn.orderlink.it/foto/242360L1899919/L1899919xah-14.jpg,http://cdn.orderlink.it/foto/242360L1899919/L1899919aax-15.jpg,Longchamp,242360ABS000015-P89,Fall - Winter,2024,L1899919,P89,Blu,PAVONE,Tunisia,100% PA 100% LH,le pliage green l tote bag,"Longchamp Le Pliage green foldable shopping bag with contrast leather handles and flap with embossed logo and snap button. Zip closure with silver-tone metal zip puller, inside one open pocket. It can be carried by hand or on the shoulder.",Woman > Bags > Tote bags,10,165.0,23.00%,os,15,51 cm,31 cm,19 cm,23 cm,0,0,120.0,"H 31.0 cm x L 51.0 x D 19.0 cm / H 12.2"" x L 20.1"" x D 7.5""",242360ABS000015-P89-os
https://www.styleisnow.com/business/handbags-valentino-garavani-242032abs000012-0no.html,,http://cdn.orderlink.it/foto/2320323W2B0K53ZXL/3W2B0K53ZXLtjp-13.jpg,http://cdn.orderlink.it/foto/2320323W2B0K53ZXL/3W2B0K53ZXLaif-14.jpg,http://cdn.orderlink.it/foto/2320323W2B0K53ZXL/3W2B0K53ZXLcbl-15.jpg,Valentino Garavani,242032ABS000012-0NO,Fall - Winter,2024,5W2B0K53ZXL,0NO,Nero,NERO,Italy,100% calf leather,small locò shoulder bag,"Valentino Garavani ""Locò"" leather shoulder bag with tone-on-tone Signature VLogo element on the flap. Magnetic closure, smooth leather interior with one open pocket, detachable leather handle and detachable chain strap. Gold-finished metalware.",Woman > Bags > Handbags,6,2540.0,25.00%,os,7,"19,5 cm",10 cm,"5,5 cm",11 cm,0,0,1750.0,"H 10.0 cm x L 19.5 x D 5.5 cm / H 3.9"" x L 7.7"" x D 2.2""",242032ABS000012-0NO-os
https://www.styleisnow.com/business/tote-bags-a-p-c-242633abs000017-lzz.html,,http://cdn.orderlink.it/foto/232633PUAATM61861/PUAATM61861qad-13.jpg,http://cdn.orderlink.it/foto/232633PUAATM61861/PUAATM61861wli-14.jpg,http://cdn.orderlink.it/foto/232633PUAATM61861/PUAATM61861nzt-15.jpg,A.P.C.,242633ABS000017-LZZ,Fall - Winter,2024,PUABR M61861,LZZ,Nero,NOIR,China,60% PU 40% PL,small ninon tote bag,The Ninon tote bag by A.P.C. is made of faux leather with a contrasting printed logo lettering on the front. It features double handles and a fabric interior with an open pocket.,Woman > Bags > Tote bags,1,230.0,38.00%,os,2,"25,5 cm",31 cm,11 cm,24 cm,0,0,160.0,"H 31.0 cm x L 25.5 x D 11.0 cm / H 12.2"" x L 10.0"" x D 4.3""",242633ABS000017-LZZ-os
