,Product Url,Image,Image1,Image2,Image3,Vendor,Sku Styleisnow,Season,Year,SKU,Variant,Color detail,Color Supplier,Made in,Material,Product's Title,Description,Tags,Qty,Retail Price,Discount,Size,Qty Detail,Handle height,Shoulder bag length,Belt length,Belt height,Accessory length,Accessory height,Accessory weight,Heel height,Plateau height,Barcode,Compare to Price,Qty_Detail,SKU FULL
67644,https://www.styleisnow.com/business/loafers-dolce-gabbana-241450lmo000001-8r747.html,,http://cdn.orderlink.it/foto/241450A50614AO249/A50614AO249hjp-13.jpg,http://cdn.orderlink.it/foto/241450A50614AO249/A50614AO249evj-14.jpg,http://cdn.orderlink.it/foto/241450A50614AO249/A50614AO249qml-16.jpg,Dolce & Gabbana,241450LMO000001-8R747,Spring - Summer,2024,A50614 AO249,8R747,Nero,NERO GUN METAL,Italy,52% VI 48% CO,embroidered velvet loafers,Dolce &amp  Gabbana velvet loafers with grosgrain hem and iconic contrasting DG Blasone embroidery. Fabric lining and leather sole.,Man > Shoes > Loafers,1,1275.0,44.00%,43,"0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,"20.0 mm / 0.8""",0,0,880.0,2,241450LMO000001-8R747-43
67885,https://www.styleisnow.com/business/t-shirts-kenzo-242416uts000004-01.html,http://cdn.orderlink.it/foto/242416FE65TS4714SG/FE65TS4714SGdpo-20.jpg,http://cdn.orderlink.it/foto/242416FE65TS4714SG/FE65TS4714SGsyf-13.jpg,http://cdn.orderlink.it/foto/242416FE65TS4714SG/FE65TS4714SGvhh-14.jpg,http://cdn.orderlink.it/foto/242416FE65TS4714SG/FE65TS4714SGqcd-15.jpg,Kenzo,242416UTS000004-01,Fall - Winter,2024,FE65TS4714SG,01,Bianco,WHITE,Portugal,100%CO-O,"""boke flower 2","This Kenzo crew neck t-shirt is made of organic cotton jersey and features a printed ""Boke Flower 2.0"" logo detail on the chest. It has a regular fit with ribbed neckline. The model is 187 cm tall and wears a size L.",Man > Clothing > T-Shirts and Sweatshirts > T-shirts,1,165.0,35.00%,s,"2,1,2,2,0,0,0,0,0,0,0,0",,,,,,,,0,,0,120.0,2,242416UTS000004-01-s
69082,https://www.styleisnow.com/business/shirts-self-portrait-242632dto000004-a0003.html,http://cdn.orderlink.it/foto/242632PF24036TBG/PF24036TBGfhp-20.jpg,http://cdn.orderlink.it/foto/242632PF24036TBG/PF24036TBGjpy-13.jpg,http://cdn.orderlink.it/foto/242632PF24036TBG/PF24036TBGnug-14.jpg,http://cdn.orderlink.it/foto/242632PF24036TBG/PF24036TBGowl-15.jpg,Self-Portrait,242632DTO000004-A0003,Fall - Winter,2024,PF24 036T BG,A0003,Beige,BEIGE,China,100%CO,"""cropped shirt with crystals""","This cropped shirt from Self-Portrait is made of pure cotton poplin and features a front adorned with applied crystals. It has a classic collar, hidden button closure, and two-button cuffs. The regular fit is completed by an elasticized hem and pleats on the sleeves. The model is 177 cm tall and wears a UK size 6.",Woman > Clothing > Shirts and Blouses > Shirts,2,405.0,32.00%,6,"0,0,2,1,2,0,0,0,0,0",,,,,,,,0,,0,280.0,2,242632DTO000004-A0003-6
69132,https://www.styleisnow.com/business/blazers-and-gilets-self-portrait-242632dgh000001-blue.html,http://cdn.orderlink.it/foto/242632PF24826JBL/PF24826JBLkyv-20.jpg,http://cdn.orderlink.it/foto/242632PF24826JBL/PF24826JBLjzc-13.jpg,http://cdn.orderlink.it/foto/242632PF24826JBL/PF24826JBLrxg-14.jpg,http://cdn.orderlink.it/foto/242632PF24826JBL/PF24826JBLlsc-15.jpg,Self-Portrait,242632DGH000001-BLUE,Fall - Winter,2024,PF24 826J BL,BLUE,Blu,BLUE,China,91%CO 7%PL 1%VI 1%LY,distressed denim cropped jacket in,"This cropped jacket by Self-Portrait is made of soft distressed denim with a cotton blend, finished with tonal braided trims. It features a round neckline, button closure, and front pockets with enamel buttons. Unlined. The classic and regular fit is enhanced by padded shoulders. The model is 177 cm tall and wears a UK size 6.",Woman > Clothing > Jackets and Blazers > Blazers and gilets,1,480.0,32.00%,12,"0,0,0,0,0,1,0,0,0,0",,,,,,,,0,,0,330.0,1,242632DGH000001-BLUE-12
74842,https://www.styleisnow.com/business/puffer-jackets-moose-knuckles-242745ufe000001-292b.html,http://cdn.orderlink.it/foto/232745M32MS600/M32MS600cqs-20.jpg,http://cdn.orderlink.it/foto/232745M32MS600/M32MS600jbk-13.jpg,http://cdn.orderlink.it/foto/232745M32MS600/M32MS600ukw-14.jpg,http://cdn.orderlink.it/foto/232745M32MS600/M32MS600shw-15.jpg,Moose Knuckles,242745UFE000001-292B,Fall - Winter,2024,M32MS600,292B,Nero,BLACK,China,"75% CO 25% PL, 100% PL",'bunny' jacket with eco-fur insert,"Moose Knuckles padded jacket crafted in cotton with removable eco-fur insert on the inside. It features adjustable hood with drawstring, zipper fastening, front split kangaroo pocket, ribbed hem and cuffs. Embellished with logo patch on the left sleeve. Interior lined in quilted fabric with a pocket. Regular fit. The model is 187 cm tall and wears size L.",Man > Clothing > T-Shirts and Sweatshirts > Sweatshirts,2,515.0,30.00%,xl,"4,4,1,2,0,0,0,0,0,0,0,0",,,,,,,,0,,0,350.0,2,242745UFE000001-292B-xl
75381,https://www.styleisnow.com/business/earrings-versace-242417abg000009-kott.html,,http://cdn.orderlink.it/foto/242417DG2H765DJMT/DG2H765DJMTkys-13.jpg,http://cdn.orderlink.it/foto/242417DG2H765DJMT/DG2H765DJMTyfz-14.jpg,http://cdn.orderlink.it/foto/242417DG2H765DJMT/DG2H765DJMTgvl-15.jpg,Versace,242417ABG000009-KOTT,Fall - Winter,2024,DG2H765 DJMT,KOTT,Oro,TRIBUTE GOLD,Italy,100% BR,medusa tribute earrings,"Versace stud earrings in brass with Gold Tribute finish, featuring the iconic Greek Key engraved around the circumference and a raised Medusa head. Back closure with butterfly clasp. For pierced ears. Lead and nickel free.",Woman > Accessories > Jewellery > Earrings,9,345.0,32.00%,os,8,,,0.0,0,3 cm,3 cm,0,0,,0,240.0,8,242417ABG000009-KOTT-os
77416,https://www.styleisnow.com/business/sneakers-valentino-garavani-242032nsn000003-bt8r.html,,http://cdn.orderlink.it/foto/2420325W2S0GG8IDB/5W2S0GG8IDBuzj-13.jpg,http://cdn.orderlink.it/foto/2420325W2S0GG8IDB/5W2S0GG8IDBkma-14.jpg,http://cdn.orderlink.it/foto/2420325W2S0GG8IDB/5W2S0GG8IDBtdk-16.jpg,Valentino Garavani,242032NSN000003-BT8R,Fall - Winter,2024,5W2S0GG8IDB,BT8R,Bianco,BIANCO/ROSE QUARTZ,Italy,100% leather,open rockstud untitled sneakers,"Rockstud Untitled Open flatform sneakers by Valentino Garavani in smooth leather, embellished with the iconic platinum-finished metal studs applied on the sides. Leather lining, removable insole, rubber sole. Fabric ""11"" label on the tongue and embossed rubber studs on the back. Extra laces included.",Woman > Shoes > Sneakers,2,965.0,25.00%,38,"0,0,0,0,2,0,2,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,0,"5,5 cm",0,660.0,3,242032NSN000003-BT8R-38
77728,https://www.styleisnow.com/business/parkas-moncler-basic-242146dgh000007-999.html,http://cdn.orderlink.it/foto/2421461C00005597R1/1C00005597R1ann-20.jpg,http://cdn.orderlink.it/foto/2421461C00005597R1/1C00005597R1tai-13.jpg,http://cdn.orderlink.it/foto/2421461C00005597R1/1C00005597R1vfu-14.jpg,http://cdn.orderlink.it/foto/2421461C00005597R1/1C00005597R1xny-15.jpg,Moncler,242146DGH000007-999,Fall - Winter,2024,1C000 05 597R1,999,Nero,BLACK,Romania,100% PA,adhemar park,"The Adhemar parka by Moncler is made of micro-tela with a shiny water-repellent finish and features a high collar, adjustable waist and hem with drawstrings, a two-way zip closure, and a detachable hood. It has two zip pockets, one with a snap button on the left sleeve, decorated with a logo patch, and elasticated cuffs. The fit is regular but relaxed. The model is 177 cm tall and wears size 0 Moncler",Woman > Clothing > Outerwear > Parkas,2,1670.0,28.00%,0,"0,0,2,3,3,0,0,0,0",,,,,,,,0,,0,1150.0,2,242146DGH000007-999-0
77909,https://www.styleisnow.com/business/birkenstock-242568xsp000012-a0010.html,,http://cdn.orderlink.it/foto/2425681027404/1027404lmm-13.jpg,http://cdn.orderlink.it/foto/2425681027404/1027404bsu-14.jpg,http://cdn.orderlink.it/foto/2425681027404/1027404rrv-16.jpg,Birkenstock,242568XSP000012-A0010,Fall - Winter,2024,1027404,A0010,Verde,SURF GREEN,Germany,100% EVA,boston eva clog,"The BIRKENSTOCK Boston clogs are made of EVA with an adjustable strap and a tone-on-tone engraved buckle. The anatomical footbed features the brand's logo, while the sole is made of rubber. These clogs have a narrow fit for added comfort.",Unisex > Calzature unisex > Mules,7,70.0,25.00%,38,"0,0,3,0,6,0,9,0,8,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,0,0,0,50.0,9,242568XSP000012-A0010-38
78435,https://www.styleisnow.com/business/maxi-jacquemus-242884dab000011-100.html,http://cdn.orderlink.it/foto/242884243DR0011020/243DR0011020mxt-20.jpg,http://cdn.orderlink.it/foto/242884243DR0011020/243DR0011020lsu-13.jpg,http://cdn.orderlink.it/foto/242884243DR0011020/243DR0011020elr-14.jpg,http://cdn.orderlink.it/foto/242884243DR0011020/243DR0011020jtf-15.jpg,Jacquemus,242884DAB000011-100,Fall - Winter,2024,243DR001 1020,100,Bianco,WHITE,Romania,"88% VI, 12% PA",long dress 'the saudade longue,"This long Jacquemus dress features an asymmetrical design with draped detailing on the side, made from a crinkled viscose blend twill fabric. Framed by delicate draping at the neckline, it has a backless design enhanced by adjustable straps and a strap across the back. It fastens with an invisible zip and hook closure on the side. The model is 177 cm tall and wears a FR 36 size.",Woman > Clothing > Dresses > Maxi,1,1015.0,30.00%,38,"0,0,2,1,0,0,0,0,0",,,,,,,,0,,0,700.0,1,242884DAB000011-100-38
